""	"DMRT1"	"DKK1"	"WNT4"	"SRY"	"NR0B1"	"RSPO1"	"NR5A1"	"SOX9"	"CTNNB1"	"WT1pKTS"	"FGF9"	"DHH"	"PGD2"	"FOXL2"	"AMH"	"CBX2"	"UGR"	"GATA4"	"WT1mKTS"
"E1204_788"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1238_95"	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1885_64"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E441_330"	0	0	0	0	2	1	0	0	1	2	0	0	0	0	0	0	0	2	2
"E198_256"	2	2	1	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E580_426"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1834_415"	2	2	0	2	0	0	2	1	0	2	2	2	1	0	1	0	0	2	2
"E776_641"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1847_617"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E615_778"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E228_16"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	1
"E1570_80"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E701_480"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E768_628"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1203_197"	0	0	1	1	2	2	2	0	1	1	0	0	0	0	0	0	0	2	1
"E171_71"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E194_357"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E775_631"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1840_791"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E561_118"	0	0	2	2	0	0	2	0	0	2	0	0	0	0	0	2	0	1	2
"E926_548"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E969_237"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E110_797"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E662_138"	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1474_234"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	2	1
"E590_34"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E666_602"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E640_50"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E467_107"	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1849_535"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E288_559"	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1208_87"	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E285_667"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E822_495"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1191_299"	2	2	0	2	2	0	0	1	0	2	0	0	0	0	0	0	0	2	2
"E829_28"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1773_424"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1521_409"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1759_113"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E711_169"	2	2	2	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E1577_72"	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E1556_278"	0	0	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1240_377"	2	2	0	2	1	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E910_596"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E200_237"	1	1	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E780_72"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E531_433"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1760_745"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E725_693"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E300_171"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E835_21"	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	2	1	2
"E1517_169"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E376_304"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	1	2
"E132_308"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	1	2
"E903_704"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1989_202"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E316_109"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1051_360"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	2	2
"E692_579"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E993_581"	2	2	0	2	0	0	2	2	0	1	2	0	0	0	1	0	0	2	2
"E28_735"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E193_562"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1899_772"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E923_115"	0	0	2	1	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1070_395"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E70_696"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	1
"E1485_756"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E837_484"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1471_559"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1391_350"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1817_736"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E108_534"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1842_660"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E812_63"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	1
"E1813_363"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1246_86"	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1020_681"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E374_96"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	1	2
"E1999_549"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E2_125"	0	0	2	1	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E851_615"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1921_255"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E1805_607"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1321_151"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1827_164"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1878_711"	2	2	0	2	0	0	2	2	0	2	2	1	1	0	1	0	0	2	2
"E1454_693"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E351_343"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1275_493"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1444_614"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E54_327"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1765_228"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	1
"E1631_533"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1262_652"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E5_558"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E230_596"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E67_665"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1848_433"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E847_113"	0	0	0	1	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E584_677"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E898_296"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1340_206"	1	1	2	2	2	1	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1049_749"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1605_292"	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	2
"E887_193"	0	0	2	2	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E1336_657"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E481_664"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E1841_521"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E818_587"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E499_752"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E681_227"	2	2	2	2	2	2	0	0	0	1	0	0	0	0	0	0	0	2	2
"E836_119"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E804_156"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1536_644"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1306_184"	1	0	2	2	2	1	0	0	0	2	0	0	0	0	0	2	0	2	2
"E1119_778"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1276_532"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E691_290"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1147_319"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1414_455"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E479_599"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1532_442"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1983_34"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	1
"E1924_165"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E373_558"	2	2	0	2	0	0	2	2	0	2	2	1	1	0	1	0	0	2	2
"E1021_426"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E367_170"	0	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1950_103"	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E888_515"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1039_86"	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E648_647"	2	2	0	2	0	0	1	2	0	2	2	2	1	0	1	0	0	2	2
"E871_141"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	1
"E24_367"	2	2	0	2	2	0	1	2	0	2	0	0	0	0	0	0	0	2	2
"E274_401"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1652_431"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1621_769"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1053_681"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1184_453"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1308_540"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E687_426"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E772_71"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	2	1
"E257_10"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	2	1
"E1384_53"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1350_588"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1333_628"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E258_626"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1980_729"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E732_15"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E914_58"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1886_75"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1282_366"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E103_647"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E878_564"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1816_531"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1546_394"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1223_652"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E779_794"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E742_238"	2	2	2	2	2	2	1	0	0	2	0	0	0	0	0	0	0	2	2
"E693_129"	0	0	1	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1064_686"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1720_675"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1405_650"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1633_642"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E524_722"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1230_769"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E841_620"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1380_558"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1801_47"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E931_188"	0	0	2	0	2	1	1	0	1	2	0	0	0	0	0	0	0	2	2
"E669_664"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1867_642"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1326_173"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1542_316"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	0
"E718_431"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1734_260"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1047_268"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1594_407"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1596_228"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	1	2
"E966_438"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1678_210"	0	0	1	0	2	2	1	0	0	2	0	0	0	0	0	0	0	2	2
"E613_547"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E362_485"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E494_496"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E175_783"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1901_391"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E814_604"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	0	0	0	2	2
"E1812_358"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E211_196"	0	0	2	2	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E1687_427"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1328_780"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1593_455"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1959_251"	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1782_688"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1512_392"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E525_712"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E682_333"	2	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	2
"E862_287"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1529_621"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E265_376"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E455_726"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E1344_407"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E116_781"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E726_247"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E277_81"	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	2	1	2	1
"E1398_510"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E537_266"	1	1	2	2	2	2	1	0	0	2	0	0	0	0	0	0	0	2	2
"E1683_67"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E936_311"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1987_210"	2	2	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1400_208"	0	0	2	1	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1487_571"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	1	2
"E1581_228"	2	2	2	2	2	1	0	1	0	2	0	0	0	0	0	0	0	2	2
"E77_61"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E1781_232"	2	2	1	1	2	1	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1108_304"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	2	2
"E1397_398"	2	2	0	2	2	0	2	2	0	2	1	1	1	0	0	0	0	2	2
"E1465_554"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1985_377"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1809_464"	2	2	0	2	0	0	2	2	0	2	1	2	1	0	1	0	0	2	2
"E839_635"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E902_225"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1167_733"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E605_310"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E509_555"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1426_195"	0	0	2	2	2	1	0	0	1	2	0	0	0	0	0	0	0	2	2
"E967_770"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E607_20"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E634_355"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E560_319"	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2
"E1492_236"	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	2	2
"E543_643"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E685_566"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1158_89"	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	2	0	2	2
"E942_647"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E891_247"	0	0	2	0	2	2	0	0	1	1	0	0	0	0	0	0	0	1	2
"E1934_354"	2	2	0	2	2	0	1	0	0	2	0	0	0	0	0	0	0	2	2
"E974_681"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1148_729"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1749_364"	2	2	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	2	2
"E1346_248"	2	2	2	1	2	2	0	0	0	2	0	0	0	0	0	0	0	2	1
"E121_303"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1890_776"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E1464_439"	2	2	0	2	2	0	1	2	0	2	0	0	0	0	0	0	0	2	2
"E1571_63"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E516_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"E1048_783"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E416_644"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E466_729"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E238_574"	2	2	0	1	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E469_562"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E363_251"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	2	2
"E748_660"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E75_18"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	1	2
"E865_520"	2	2	0	2	0	0	2	2	0	2	2	1	1	0	1	0	0	2	1
"E473_416"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	0	0	0	2	2
"E554_393"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1696_82"	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E185_747"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E358_550"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E750_445"	2	2	0	2	2	0	2	2	0	2	2	2	1	0	0	0	0	2	2
"E1699_730"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E1314_734"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E749_365"	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E459_598"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1157_357"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E1523_787"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1280_490"	2	2	0	2	1	0	2	2	0	2	1	1	0	0	0	0	0	1	2
"E798_545"	2	2	0	2	0	0	2	2	0	2	1	2	1	0	1	0	0	1	2
"E1724_617"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E223_739"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1087_617"	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1090_759"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	1	2
"E933_587"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E364_58"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E850_460"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E444_780"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1088_486"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	1
"E1271_671"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1256_578"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1657_758"	0	0	2	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1	2
"E1161_413"	2	2	0	2	2	0	2	1	0	2	0	0	0	0	0	0	0	1	1
"E1458_410"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E273_697"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E346_766"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1227_349"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E1219_548"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1943_80"	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E1993_720"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E1305_81"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	2	2
"E1254_772"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E227_236"	0	0	2	0	2	2	0	0	1	0	0	0	0	1	0	0	0	2	2
"E904_4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"E1393_226"	2	1	2	2	2	2	0	0	0	2	0	0	0	0	0	2	0	2	2
"E1352_653"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E394_385"	2	2	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	2	2
"E932_95"	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	1
"E1660_205"	0	0	2	0	2	2	0	0	1	2	0	0	0	0	0	0	0	1	2
"E1372_21"	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	2	2	2
"E1910_752"	2	2	0	2	0	0	2	2	0	2	2	2	1	0	1	0	0	2	2
"E295_134"	0	0	2	1	0	0	2	0	0	2	0	0	0	0	0	2	0	2	2
"E180_441"	2	2	0	2	0	0	2	2	0	1	2	2	1	0	1	0	0	2	2
"E292_248"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	0	0	1	2
"E1348_167"	0	0	2	1	2	0	2	0	0	2	0	0	0	0	0	0	0	2	2
"E1862_194"	0	0	2	2	2	0	1	0	0	2	0	0	0	0	0	2	0	2	2
